first_two_cards,royal_flush,straight_flush,four_of_a_kind,full_house,flush,straight,three_of_a_kind,two_pairs,one_pair,high_card
other: 5 Q,0.00002312673450508788,0.0001991731012478997,0.0012592270950933565,0.022241310955464517,0.019495837187789085,0.12008344503388775,0.0445449225018407,0.2278644112594159,0.4315882874889086,0.13270025864184712
other: 5 K,0.00002312673450508788,0.00016991070248635994,0.0012592270950933565,0.022241310955464517,0.019525099586550625,0.08486001246011818,0.0445449225018407,0.2278644112594159,0.4457852706299911,0.15372670807453417
same suit: 6 7,0.0000018878966942928884,0.002537805131303215,0.0012592270950933565,0.022241310955464517,0.06328088127017689,0.1846957654477147,0.04262917933130699,0.2176570258075478,0.3706885159244086,0.0950084011402896
same suit: 6 8,0.0000018878966942928884,0.0019048877645415243,0.0012592270950933565,0.022241310955464517,0.06391379863693859,0.14099190092318148,0.04289395684268157,0.21890445354830185,0.3895599312805603,0.1183286450565425
same suit: 6 9,0.0000018878966942928884,0.0014022352696860428,0.0012592270950933565,0.022241310955464517,0.06441645113179406,0.12351375332741793,0.04315873435405614,0.22015188128905586,0.4003435971983613,0.12351092148237648
same suit: 6 10,0.00002312673450508788,0.0009812343068587286,0.0012592270950933565,0.022241310955464517,0.06481621325681058,0.12270809341312844,0.043423511865430725,0.2213993090298099,0.40438747191753666,0.118760501425362
same suit: 6 J,0.00002312673450508788,0.0005984632520908456,0.0012592270950933565,0.022241310955464517,0.06519898431157847,0.12195482263210557,0.0436882893768053,0.2226467367705639,0.40708338839698693,0.11530565047480602
same suit: 6 Q,0.00002312673450508788,0.0005564575506428289,0.0012592270950933565,0.022241310955464517,0.06524099001302648,0.11450848609564085,0.0436882893768053,0.2226467367705639,0.40977930487643716,0.1200560705318205
same suit: 6 K,0.00002312673450508788,0.000346429043402745,0.0012592270950933565,0.022241310955464517,0.06545101852026657,0.07727680341331722,0.0436882893768053,0.2226467367705639,0.4232588872736884,0.1438081708168929
pair: 6,0.0000018878966942928884,0.00025958579546527216,0.008423795049934868,0.08547641073080481,0.019456663331382507,0.04074081066284053,0.11702127659574468,0.3945326511733278,0.33408691876380525,0
other: 6 7,0.0000018878966942928884,0.00025958579546527216,0.0012592270950933565,0.022241310955464517,0.019456663331382507,0.19735505673129566,0.04346504559270517,0.22274821121788216,0.3904170363797693,0.10279597500424777
other: 6 8,0.0000018878966942928884,0.00025958579546527216,0.0012592270950933565,0.022241310955464517,0.019456663331382507,0.15069852177688836,0.04373501481998905,0.22402726122826558,0.41029281277728485,0.1280277143234722
other: 6 9,0.0000018878966942928884,0.0002610017179859918,0.0012592270950933565,0.022241310955464517,0.019455247408861787,0.13218486284430517,0.04400498404727293,0.22530631123864903,0.42165039929015086,0.13363476750552208
other: 6 10,0.00002312673450508788,0.00024259472521663615,0.0012592270950933565,0.022241310955464517,0.01945241556382035,0.13151654741452548,0.044274953274556814,0.22658536124903245,0.4259094942324756,0.12849496875530972
other: 6 J,0.00002312673450508788,0.00022182786157941438,0.0012592270950933565,0.022241310955464517,0.019473182427457568,0.13086616700334158,0.0445449225018407,0.2278644112594159,0.4287488908606921,0.12475693330060979
other: 6 Q,0.00002312673450508788,0.00019728520455360683,0.0012592270950933565,0.022241310955464517,0.019497725084483376,0.12288697162491269,0.0445449225018407,0.2278644112594159,0.4315882874889086,0.12989673205082217
other: 6 K,0.00002312673450508788,0.00016802280579206706,0.0012592270950933565,0.022241310955464517,0.019526987483244915,0.08299099473276822,0.0445449225018407,0.2278644112594159,0.4457852706299911,0.15559572580188413
same suit: 7 8,0.0000018878966942928884,0.002537805131303215,0.0012592270950933565,0.022241310955464517,0.06328088127017689,0.1846957654477147,0.04262917933130699,0.2176570258075478,0.3706885159244086,0.0950084011402896
same suit: 7 9,0.0000018878966942928884,0.001906303687062244,0.0012592270950933565,0.022241310955464517,0.06391238271441786,0.14228747002963998,0.04289395684268157,0.21890445354830185,0.3895599312805603,0.11703307595008401
same suit: 7 10,0.00002312673450508788,0.0013866601219581264,0.0012592270950933565,0.022241310955464517,0.06441078744171119,0.1286960297532519,0.04315873435405614,0.22015188128905586,0.4003435971983613,0.1183286450565425
same suit: 7 J,0.00002312673450508788,0.0009302610961128207,0.0012592270950933565,0.022241310955464517,0.0648671864675565,0.12255092601332855,0.043423511865430725,0.2213993090298099,0.40843134663671204,0.11487379410598653
same suit: 7 Q,0.00002312673450508788,0.00048566142460684553,0.0012592270950933565,0.022241310955464517,0.06531178613906247,0.11170779134965735,0.0436882893768053,0.2226467367705639,0.41517113783533766,0.11746493231890351
same suit: 7 K,0.00002312673450508788,0.0003511487851384772,0.0012592270950933565,0.022241310955464517,0.06544629877853084,0.0815953671015122,0.0436882893768053,0.2226467367705639,0.4232588872736884,0.13948960712869793
pair: 7,0.0000018878966942928884,0.00025958579546527216,0.008423795049934868,0.08547641073080481,0.019456663331382507,0.04074081066284053,0.11702127659574468,0.3945326511733278,0.33408691876380525,0
other: 7 8,0.0000018878966942928884,0.00025958579546527216,0.0012592270950933565,0.022241310955464517,0.019456663331382507,0.19735505673129566,0.04346504559270517,0.22274821121788216,0.3904170363797693,0.10279597500424777
other: 7 9,0.0000018878966942928884,0.0002610017179859918,0.0012592270950933565,0.022241310955464517,0.019455247408861787,0.15210028507240084,0.04373501481998905,0.22402726122826558,0.41029281277728485,0.12662595102795976
other: 7 10,0.00002312673450508788,0.00024259472521663615,0.0012592270950933565,0.022241310955464517,0.01945241556382035,0.13779191602635504,0.04400498404727293,0.22530631123864903,0.42165039929015086,0.1280277143234722
other: 7 J,0.00002312673450508788,0.00022182786157941438,0.0012592270950933565,0.022241310955464517,0.019473182427457568,0.13146274235873812,0.044274953274556814,0.22658536124903245,0.43016858917480033,0.1242896788687723
other: 7 Q,0.00002312673450508788,0.00019728520455360683,0.0012592270950933565,0.022241310955464517,0.019497725084483376,0.12001170495950461,0.0445449225018407,0.2278644112594159,0.4372670807453416,0.12709320545979724
other: 7 K,0.00002312673450508788,0.00016802280579206706,0.0012592270950933565,0.022241310955464517,0.019526987483244915,0.08766353905114312,0.0445449225018407,0.2278644112594159,0.4457852706299911,0.15092318148350922
same suit: 8 9,0.0000018878966942928884,0.002534973286261776,0.0012592270950933565,0.022241310955464517,0.06328371311521834,0.1821046272347977,0.04262917933130699,0.2176570258075478,0.3706885159244086,0.09759953935320659
same suit: 8 10,0.00002312673450508788,0.0018864807717721686,0.0012592270950933565,0.022241310955464517,0.06391096679189714,0.14358303913609846,0.04289395684268157,0.21890445354830185,0.3895599312805603,0.11573750684362552
same suit: 8 J,0.00002312673450508788,0.0013314391436500595,0.0012592270950933565,0.022241310955464517,0.06446600842001926,0.12465215503407653,0.04315873435405614,0.22015188128905586,0.40438747191753666,0.1183286450565425
same suit: 8 Q,0.00002312673450508788,0.0008132115010666617,0.0012592270950933565,0.022241310955464517,0.06498423606260266,0.10841718741150484,0.043423511865430725,0.2213993090298099,0.41651909607506277,0.1209197832694595
same suit: 8 K,0.00002312673450508788,0.00027610489154033494,0.0012592270950933565,0.022241310955464517,0.06552134267212899,0.07490796503615323,0.0436882893768053,0.2226467367705639,0.4286507202325889,0.1407851762351564
pair: 8,0.0000018878966942928884,0.00025958579546527216,0.008423795049934868,0.08547641073080481,0.019456663331382507,0.04074081066284053,0.11702127659574468,0.3945326511733278,0.33408691876380525,0
